Car pool - car_pool Not In 2-98

Trip 2011
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
        7001        7001         64
        7001        7002        149
        7001        7004         62
        7001        7008         31
        7001        7009         45
        7001        7019         19
        7001        7021         22
        7001        7024         65
        7001        7025         14
        7001        7026         51
        7001        7031         32
        7001        7032         19
        7001        7035         18
        7001        7039         10
        7001        7051         18
        7001        7052         19
        7001        7056         13
        7001        7057         18
        7001        7059         73
        7001        7068         12
        7001        7094         32
        7001        7458         49
        7001        7565         11
        7001        7572         18
        7002        7001        129
        7002        7002         55
        7002        7003         42
        7002        7006         85
        7002        7007         21
        7002        7008        154
        7002        7009         29
        7002        7012         20
        7002        7013        382
        7002        7014         35
        7002        7016         45
        7002        7017         62
        7002        7018         32
        7002        7019         86
        7002        7020         48
        7002        7021         93
        7002        7023         42
        7002        7024         62
        7002        7025         42
        7002        7031         21
        7002        7032         61
        7002        7035         10
        7002        7036         40
        7002        7037         20
        7002        7039        137
        7002        7042        130
        7002        7043         21
        7002        7049         92
        7002        7050        120
        7002        7051         53
        7002        7052         69
        7002        7053         36
        7002        7055         33
        7002        7056         74
        7002        7059         69
        7002        7060         10
        7002        7068         16
        7002        7097         52
        7002        7098        335
        7002        7105         32
        7002        7106         21
        7002        7108         31
        7002        7111         13
        7002        7122         42
        7002        7123         16
        7002        7458         42
        7002        7464         21
        7002        7565         21
        7002        7567         14
        7002        7572         36
        7003        7002         42
        7003        7005         53
        7003        7006         20
        7003        7008         78
        7003        7013         82
        7003        7014         16
        7003        7016         18
        7003        7024         35
        7003        7026         68
        7003        7035         38
        7003        7051         13
        7003        7053         28
        7003        7057         18
        7003        7068         60
        7003        7101         17
        7003        7458         28
        7003        7565         14
        7003        7572         38
        7004        7001         62
        7004        7005         12
        7004        7008         25
        7004        7009         16
        7004        7011         21
        7004        7013        117
        7004        7016         42
        7004        7024         48
        7004        7025         15
        7004        7032         42
        7004        7033         21
        7004        7039         20
        7004        7043         32
        7004        7048         10
        7004        7050         12
        7004        7051         16
        7004        7066         13
        7004        7097         12
        7004        7098         40
        7004        7100         13
        7004        7105         65
        7004        7106         32
        7004        7458         63
        7004        7464         31
        7005        7001         15
        7005        7003         53
        7005        7004         12
        7005        7006         63
        7005        7007         52
        7005        7008         34
        7005        7013        115
        7005        7020         16
        7005        7021          9
        7005        7024         20
        7005        7026         47
        7005        7030         16
        7005        7033         16
        7005        7039         48
        7005        7042         16
        7005        7048         12
        7005        7049         32
        7005        7051         80
        7005        7053         32
        7005        7054         13
        7005        7056         24
        7005        7059         10
        7005        7065         26
        7005        7068         73
        7005        7098         40
        7005        7101         12
        7005        7104         15
        7005        7105         10
        7005        7116         21
        7005        7124         12
        7005        7129         19
        7005        7257         10
        7005        7258         21
        7005        7565         26
        7005        7572         17
        7006        7002         40
        7006        7003         20
        7006        7004         13
        7006        7005         63
        7006        7007         21
        7006        7008         69
        7006        7009         63
        7006        7010         48
        7006        7013        233
        7006        7016         21
        7006        7017         78
        7006        7018         16
        7006        7019         20
        7006        7020         63
        7006        7021        102
        7006        7024         16
        7006        7025         33
        7006        7031         76
        7006        7033         42
        7006        7039        358
        7006        7042         97
        7006        7043         21
        7006        7047         12
        7006        7048         26
        7006        7049         67
        7006        7050         60
        7006        7051         36
        7006        7053         55
        7006        7054         16
        7006        7055         32
        7006        7056         21
        7006        7059         60
        7006        7065         16
        7006        7066         19
        7006        7068         41
        7006        7094         16
        7006        7098        255
        7006        7100         32
        7006        7101         15
        7006        7105        102
        7006        7106         48
        7006        7108         14
        7006        7112         54
        7006        7117         12
        7006        7122         21
        7006        7126         16
        7006        7128         39
        7006        7131         12
        7006        7137         12
        7006        7141         16
        7006        7565         20
        7006        7572         12
        7007        7002         21
        7007        7005         32
        7007        7018         23
        7007        7020         17
        7007        7021         20
        7007        7026         15
        7007        7028         21
        7007        7034         35
        7007        7035         55
        7007        7039         18
        7007        7043         14
        7007        7059         26
        7007        7099         10
        7007        7256         10
        7007        7557         23
        7007        7572         15
        7008        7001         38
        7008        7002        205
        7008        7003         78
        7008        7004         12
        7008        7005         25
        7008        7006         84
        7008        7011         37
        7008        7014         31
        7008        7017         56
        7008        7019         21
        7008        7020         22
        7008        7021         45
        7008        7022         55
        7008        7023         31
        7008        7024         48
        7008        7025        101
        7008        7026         15
        7008        7028         46
        7008        7029         24
        7008        7031         42
        7008        7034         10
        7008        7035         21
        7008        7037         19
        7008        7039         31
        7008        7042         70
        7008        7050         13
        7008        7053         33
        7008        7054         10
        7008        7055         16
        7008        7057         41
        7008        7059         52
        7008        7060         21
        7008        7100         13
        7008        7105         10
        7008        7108         27
        7008        7109         27
        7008        7110         18
        7008        7111         24
        7008        7256         10
        7008        7257         37
        7008        7458         78
        7008        7546         13
        7008        7557         47
        7008        7572         12
        7009        7001         65
        7009        7002         33
        7009        7004         31
        7009        7006         63
        7009        7008         24
        7009        7011         95
        7009        7012         32
        7009        7017         29
        7009        7024         21
        7009        7025         87
        7009        7026         51
        7009        7028         74
        7009        7030         13
        7009        7035         53
        7009        7053         17
        7009        7056         44
        7009        7059         97
        7009        7066         16
        7009        7097         32
        7009        7105         17
        7009        7108         10
        7009        7118         20
